,time,value
0,0.0,0.9200012451507413
1,0.001,0.861292085856661
2,0.002,0.6017359895391771
3,0.003,0.6412107974791394
4,0.004,0.794014291160871
5,0.005,0.03047869434375844
6,0.006,0.3896381502624117
7,0.007,-0.31632593377606966
8,0.008,-0.5056361995983258
9,0.009000000000000001,-0.1730962356958849
10,0.01,-0.30672519939174253
11,0.011,-0.48932972936198954
12,0.012,-1.2972735270693079
13,0.013000000000000001,-1.1959672755139121
14,0.014,-0.9583429174978106
15,0.015,-1.3368021382391169
16,0.016,-1.8099387467886396
17,0.017,-1.4830328575223088
18,0.018000000000000002,-1.9614071344669446
19,0.019,-1.3284111294039964
20,0.02,-1.516134689035313
21,0.021,-1.90386092679912
22,0.022,-1.7746677995922258
23,0.023,-2.253504364557533
24,0.024,-2.125114851535252
25,0.025,-1.9848319693942071
26,0.026000000000000002,-2.419289190377574
27,0.027,-2.6254921310456565
28,0.028,-3.107370923171114
29,0.029,-2.6588961478576723
30,0.03,-2.415724376114398
31,0.031,-2.3986082496605854
32,0.032,-2.541243933670286
33,0.033,-2.8558914999827563
34,0.034,-3.2782029980819685
35,0.035,-2.816123826758715
36,0.036000000000000004,-2.7320832080293465
37,0.037,-2.6987940371193764
38,0.038,-2.374524095946495
39,0.039,-1.9107556688918717
40,0.04,-2.4071376556139854
41,0.041,-2.4385281053617
42,0.042,-2.3723907640370796
43,0.043000000000000003,-2.1704813932837452
44,0.044,-2.361791369064479
45,0.045,-1.9753832320903337
46,0.046,-1.7672925729109916
47,0.047,-1.7240189820121383
48,0.048,-1.52770615568386
49,0.049,-1.4069221597794357
50,0.05,-1.9351220385706709
51,0.051000000000000004,-1.073838010860647
52,0.052000000000000005,-1.3228135953089044
53,0.053,-1.3025723346278788
54,0.054,-1.1536174804633
55,0.055,-0.5372890089617814
56,0.056,-0.5762683289999855
57,0.057,-0.8537789842854825
58,0.058,-0.043496203978309306
59,0.059000000000000004,-0.45501812456150414
60,0.06,0.1835892901992588
61,0.061,0.3784929072834448
62,0.062,0.7379545362004825
63,0.063,1.1716814437501966
64,0.064,0.39174674798167197
65,0.065,0.9479883524867887
66,0.066,1.0415532323938108
67,0.067,1.4129882009172883
68,0.068,1.5032131895229706
69,0.069,1.4852026564135483
70,0.07,1.607532101227111
71,0.07100000000000001,1.549677458537083
72,0.07200000000000001,2.321361507599205
73,0.073,2.29835794200819
74,0.074,2.566364584107106
75,0.075,2.322855480921868
76,0.076,2.338045143305925
77,0.077,2.3246029512022357
78,0.078,2.8623749298622787
79,0.079,2.5427067303222115
80,0.08,3.502296680616567
81,0.081,2.641354649980416
82,0.082,3.1944042781177746
83,0.083,3.653567610426435
84,0.084,3.426851017668569
85,0.085,3.35573393959936
86,0.08600000000000001,3.060601544051432
87,0.08700000000000001,2.9768754533555004
88,0.088,3.654788751209915
89,0.089,3.9000819660738726
90,0.09,3.33315739549166
91,0.091,3.131818137494947
92,0.092,2.7370234581133532
93,0.093,3.1734843895179243
94,0.094,3.4192705652943047
95,0.095,3.911308424937068
96,0.096,3.6044241673338395
97,0.097,3.4578119720297567
98,0.098,3.203144791884939
99,0.099,3.0984403687531383
100,0.1,3.6388515801557713
101,0.101,3.2149654995007224
102,0.10200000000000001,2.4556492137579045
103,0.10300000000000001,2.810448071071037
104,0.10400000000000001,2.6758326585044494
105,0.105,2.685239167085426
106,0.106,2.9291856663502256
107,0.107,2.634998229779202
108,0.108,2.5471792341601884
109,0.109,2.8637483028951065
110,0.11,2.157076545202221
111,0.111,2.8188119035994985
112,0.112,1.9493188440423679
113,0.113,2.066649058244689
114,0.114,1.843126794585194
115,0.115,1.8509336090487527
116,0.116,1.832929284089183
117,0.117,1.714970816530672
118,0.11800000000000001,1.2441767528429144
119,0.11900000000000001,1.0189469747227575
120,0.12,1.9932894933299594
121,0.121,0.984849408238784
122,0.122,1.2290807414947282
123,0.123,0.4282289678615131
124,0.124,0.7201304168611272
125,0.125,0.6619811126821935
126,0.126,0.7410790176943217
127,0.127,-0.3151215407741934
128,0.128,0.45742921563059563
129,0.129,-0.027480661962397235
130,0.13,0.328756857782653
131,0.131,-0.16102028787257378
132,0.132,-0.18368735521104018
133,0.133,-0.08117680663425786
134,0.134,-0.3817558448302766
135,0.135,-0.2704253404474636
136,0.136,-0.5420622306030227
137,0.137,-0.7847189436821933
138,0.138,0.025589175993680047
139,0.139,-0.7078534548646177
140,0.14,-0.40601487597695335
141,0.14100000000000001,-0.15398722033173368
142,0.14200000000000002,-0.5858164733292488
143,0.14300000000000002,-0.6643802988407936
144,0.14400000000000002,-0.35847992769247533
145,0.145,-0.0945414637862661
146,0.146,-0.7783824561895616
147,0.147,-0.4644614432945792
148,0.148,-0.9252445508362026
149,0.149,-0.503891834181049
150,0.15,-0.35058717634770653
151,0.151,-0.5867785150604576
152,0.152,-0.4318182613909006
153,0.153,-0.6764839808268537
154,0.154,-0.18534814633694996
155,0.155,0.15840985894633336
156,0.156,-0.4328641518203072
157,0.157,-0.23177967903817853
158,0.158,0.16844252598113738
159,0.159,0.4476133924453927
160,0.16,-0.2942865122978649
161,0.161,0.17581229566957138
162,0.162,0.3869649535672506
163,0.163,0.349487632843182
164,0.164,-0.2826596283481758
165,0.165,0.6928615134689716
166,0.166,1.0820593724857948
167,0.167,0.7462297834993682
168,0.168,0.48780065975833575
169,0.169,0.7297028906769941
170,0.17,1.501410394561857
171,0.171,1.3301885650490086
172,0.17200000000000001,1.3356229126093437
173,0.17300000000000001,1.3362933917883062
174,0.17400000000000002,1.1158154932908233
175,0.17500000000000002,1.3375034132604584
176,0.176,1.45625312249974
177,0.177,1.7246084585528072
178,0.178,2.090392186013503
179,0.179,2.048805550560301
180,0.18,1.360427647682731
181,0.181,1.923487320745453
182,0.182,2.144239084521502
183,0.183,2.172446472631764
184,0.184,1.8580492707648995
185,0.185,2.9773462909349084
186,0.186,1.772371019082044
187,0.187,1.8788528894186955
188,0.188,2.3179888767622314
189,0.189,2.9227145064673494
190,0.19,2.072132146138015
191,0.191,2.274021682820681
192,0.192,2.7031268397934114
193,0.193,2.3960816973573267
194,0.194,2.3178557915503544
195,0.195,2.5999982245585564
196,0.196,2.5194076001741728
197,0.197,2.749415516408089
198,0.198,2.8256770276589753
199,0.199,2.5236609065367643
200,0.2,2.507842017408769
201,0.201,2.468840478241005
202,0.202,2.5312546508229112
203,0.203,2.3767147370915764
204,0.20400000000000001,2.331500661866669
205,0.20500000000000002,2.6582092703593205
206,0.20600000000000002,2.7177730684821007
207,0.20700000000000002,1.77074300776748
208,0.20800000000000002,2.182626805560932
209,0.209,1.9263639894428524
210,0.21,1.9899837419134232
211,0.211,2.151505110428769
212,0.212,2.1764598561869506
213,0.213,1.8845111060144486
214,0.214,1.2845576149765594
215,0.215,1.5076009612351249
216,0.216,2.0030238763387116
217,0.217,0.8475749191610943
218,0.218,1.9604984446386584
219,0.219,1.6944173233182447
220,0.22,1.8661636713170093
221,0.221,1.344761943038637
222,0.222,0.7189670004726296
223,0.223,1.3998610710192736
224,0.224,1.5870911385309334
225,0.225,1.4169024049804002
226,0.226,0.8765812343736756
227,0.227,1.038691382876715
228,0.228,0.7917116020526085
229,0.229,0.6465536464969105
230,0.23,1.121831866165521
231,0.231,0.4211782840631267
232,0.232,0.4600777045183632
233,0.233,0.34757243347998673
234,0.234,0.18523617708789203
235,0.23500000000000001,0.6329262768238219
236,0.23600000000000002,0.8974819185046096
237,0.23700000000000002,0.4570978580196627
238,0.23800000000000002,0.028017340212730613
239,0.23900000000000002,0.7026929424123762
240,0.24,0.9312969955514859
241,0.241,0.2106068337118228
242,0.242,0.24391462980570064
243,0.243,0.5293656162306584
244,0.244,0.85266247836091
245,0.245,0.2058749971372097
246,0.246,-0.03786312882180376
247,0.247,0.5556794600408432
248,0.248,0.6146898265551892
249,0.249,0.38983994155785784
250,0.25,0.23787362061991513
251,0.251,0.7251731822410461
252,0.252,0.6109847796337946
253,0.253,0.2518467483327126
254,0.254,0.5309041340915868
255,0.255,0.14834823528338975
256,0.256,0.8010766091901167
257,0.257,0.5617169374489924
258,0.258,0.5582313819712503
259,0.259,0.7309592716328794
260,0.26,0.8079379157591661
261,0.261,1.1223122847315887
262,0.262,1.0919181503670137
263,0.263,0.9309928461648277
264,0.264,1.2726956981636655
265,0.265,1.231631121456701
266,0.266,1.0531527314823412
267,0.267,1.21511442676643
268,0.268,1.2808959590020932
269,0.269,1.5509664165604737
270,0.27,1.3642514936460737
271,0.271,1.4329009065914098
272,0.272,2.2167595139348073
273,0.273,1.9843520734072286
274,0.274,1.5504878926806223
275,0.275,2.0258725526158052
276,0.276,1.9654526175487308
277,0.277,2.121957784193811
278,0.278,2.11918296677226
279,0.279,2.5070649831365213
280,0.28,2.3245187789369823
281,0.281,2.271106825427939
282,0.28200000000000003,2.669309864544656
283,0.28300000000000003,2.4913617627013545
284,0.28400000000000003,2.520141805667274
285,0.28500000000000003,2.637628552235454
286,0.28600000000000003,2.572276977564442
287,0.28700000000000003,2.657103190361104
288,0.28800000000000003,2.5291736317615916
289,0.289,2.5273957151774447
290,0.29,2.4973129781542167
291,0.291,2.4198714336175913
292,0.292,2.610460216415476
293,0.293,2.8552267191225797
294,0.294,2.9677050890247276
295,0.295,2.8806983095659833
296,0.296,2.2766849989684603
297,0.297,3.473022927066624
